127.0.0.1 - - [25/Sep/2018:16:09:23 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:09:34 +0800] "GET /index.html HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:09:38 +0800] "GET /Ajax_1/login.jsp HTTP/1.1" 200 4069
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:09:39 +0800] "GET /Ajax_1/jquery/jquery-2.1.1.js HTTP/1.1" 200 247351
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:09:39 +0800] "GET /Ajax_1/jquery/jquery.easyui.min.js HTTP/1.1" 200 322745
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:09:39 +0800] "GET /Ajax_1/jquery/jquery.js HTTP/1.1" 200 294745
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:09:39 +0800] "GET /Ajax_1/images/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:09:39 +0800] "GET /Ajax_1/images/login_03.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:09:39 +0800] "GET /Ajax_1/images/login_18.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:09:39 +0800] "GET /Ajax_1/images/login_11.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:09:39 +0800] "GET /Ajax_1/images/login_09.gif HTTP/1.1" 200 50514
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:09:39 +0800] "GET /Ajax_1/images/login_16.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:09:39 +0800] "GET /Ajax_1/images/login_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:09:39 +0800] "GET /Ajax_1/images/login_13.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:09:39 +0800] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:09:47 +0800] "POST /Ajax_1/login HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:09:49 +0800] "GET /Ajax_1/success.jsp?msg=%27%E6%88%90%E5%8A%9F%E8%B7%B3%E8%BD%AC%27 HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [25/Sep/2018:16:09:52 +0800] "GET /Ajax_1/login.jsp HTTP/1.1" 200 4069
127.0.0.1 - - [25/Sep/2018:16:10:35 +0800] "GET /Ajax_1/login.jsp HTTP/1.1" 200 4069
127.0.0.1 - - [25/Sep/2018:16:10:35 +0800] "GET /Ajax_1/images/login.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Sep/2018:16:10:35 +0800] "GET /Ajax_1/jquery/jquery-2.1.1.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Sep/2018:16:10:35 +0800] "GET /Ajax_1/jquery/jquery.easyui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Sep/2018:16:10:35 +0800] "GET /Ajax_1/jquery/jquery.js HTTP/1.1" 304 -
